formula,P,Tc,AD
Be2H9,500,181,-1
LiH10,400,181,-1
BeH10,400,181,-1
BeH10,450,181,-1
BeH10,500,181,-1
LiH9,400,181,-1
LiH9,450,181,-1
LiH9,500,181,-1
LiH10,450,181,-1
BeH9,400,181,-1
LiH10,500,181,-1
Be2H9,400,181,-1
Be2H9,450,181,-1
Li2H9,500,181,-1
Li2H9,450,181,-1
Li2H9,400,181,-1
BeH9,450,181,-1
BeH9,500,181,-1
BeH8,500,150,-1
LiH8,400,150,-1
BeH8,450,150,-1
BeH8,400,150,-1
LiH8,450,150,-1
LiH8,500,150,-1
BeH5,250,146,1
Be2H5,250,146,-1
BeH10,300,120,-1
LiH10,350,120,-1
BeH10,200,120,-1
BeH10,250,120,-1
BeH10,350,120,-1
LiH10,250,120,-1
LiH10,300,120,-1
LiH10,200,120,-1
Be2H7,400,81,-1
Li3H7,500,81,-1
LiH7,400,81,-1
Li2H5,300,81,-1
LiH7,450,81,-1
LiH7,500,81,-1
Li2H7,300,81,-1
Li2H7,350,81,-1
Li2H7,400,81,-1
Li2H7,450,81,-1
Li2H7,500,81,-1
Be3H7,500,81,-1
Be3H7,450,81,-1
Be3H7,400,81,-1
Li3H7,450,81,-1
Be2H7,350,81,-1
Li3H7,400,81,-1
Li3H7,350,81,-1
Li3H7,300,81,-1
Be3H7,350,81,-1
Be2H5,300,81,-1
Be2H5,350,81,-1
Be2H5,400,81,-1
LiH7,300,81,1
Be3H7,300,81,-1
Be2H7,500,81,-1
Be2H7,450,81,-1
Be2H7,300,81,-1
LiH7,350,81,-1
Li2H5,350,81,-1
BeH6,350,81,1
BeH7,450,81,-1
BeH6,300,81,1
Li2H5,400,81,-1
BeH6,400,81,-1
BeH6,450,81,-1
BeH6,500,81,-1
BeH7,300,81,1
BeH5,400,81,-1
BeH5,350,81,1
LiH5,300,81,1
LiH5,350,81,1
BeH7,350,81,-1
BeH7,400,81,-1
LiH5,400,81,-1
BeH7,500,81,-1
LiH6,300,81,1
LiH6,500,81,-1
LiH6,450,81,-1
LiH6,400,81,-1
LiH6,350,81,1
BeH5,300,81,1
Be7H,300,71,-1
Li7H,400,71,-1
Be6H,450,71,-1
Be6H,400,71,-1
Be6H,350,71,-1
Be7H,350,71,-1
Be6H,300,71,-1
Be6H,150,71,-1
Be7H,400,71,-1
Li7H,350,71,-1
Li7H,300,71,-1
Be7H,250,71,-1
Li6H,150,71,-1
Be6H,250,71,-1
Be6H,200,71,-1
Li7H,200,71,-1
Li6H,200,71,-1
Li6H,250,71,-1
Li6H,300,71,-1
Li7H,150,71,-1
Li7H,250,71,-1
Be7H,200,71,-1
Be7H,150,71,-1
Li6H,350,71,-1
Li6H,450,71,-1
Li6H,400,71,-1
BeH6,250,54,1
LiH6,250,54,1
Li2H5,250,54,-1
Li2H7,250,54,-1
LiH5,250,54,1
Li3H7,250,54,-1
BeH7,250,54,1
Be3H7,250,54,-1
Be2H7,250,54,-1
LiH7,250,54,1
LiH4,250,50,1
BeH4,250,50,1
Li7H,50,49,-1
Li6H,50,49,-1
Li7H,100,49,-1
Li6H,100,49,-1
Be7H,50,49,-1
Be7H,100,49,-1
Be6H,100,49,-1
Be6H,50,49,-1
Be3H10,150,43,-1
Be3H10,100,43,-1
Be3H8,250,43,-1
Be3H8,200,43,-1
Be3H8,150,43,-1
Li3H8,200,43,-1
Li3H8,250,43,-1
Be3H10,250,43,-1
Li3H10,50,43,-1
Be3H10,200,43,-1
Be4H9,50,43,-1
Li3H10,100,43,-1
Li3H10,150,43,-1
Li3H10,200,43,-1
Li3H8,150,43,-1
Be4H9,100,43,-1
Be4H9,150,43,-1
Be4H9,200,43,-1
Be4H9,250,43,-1
Li4H9,50,43,-1
Li4H9,100,43,-1
Li4H9,150,43,-1
Be3H10,50,43,-1
Li4H9,200,43,-1
Li4H9,250,43,-1
Li3H10,250,43,-1
BeH2,300,41,1
BeH2,350,41,1
BeH,500,41,-1
LiH3,350,41,1
Li3H7,200,41,-1
BeH,450,41,-1
Be2H5,200,41,-1
Be2H3,400,41,-1
Be2H3,350,41,-1
LiH3,300,41,1
BeH5,200,41,1
BeH6,200,41,1
BeH7,200,41,1
LiH5,200,41,1
LiH6,200,41,1
BeH3,400,41,-1
BeH3,350,41,1
BeH3,300,41,1
LiH7,200,41,1
BeH2,500,41,-1
BeH2,450,41,-1
BeH2,400,41,-1
Be2H,350,41,-1
Be2H,400,41,-1
BeH,350,41,1
Be2H,450,41,-1
Be2H,500,41,-1
Be2H3,300,41,-1
BeH,400,41,-1
LiH3,400,41,-1
Li2H3,300,41,-1
Li2H5,200,41,-1
Li2H,400,41,-1
Li2H,350,41,-1
LiH2,350,41,1
LiH2,300,41,1
Li2H3,350,41,-1
LiH,500,41,-1
Be3H7,200,41,-1
Li2H,500,41,-1
LiH2,400,41,-1
Li2H,450,41,-1
LiH2,450,41,-1
Be2H7,200,41,-1
Li2H7,200,41,-1
Li2H3,400,41,-1
LiH,400,41,-1
LiH2,500,41,-1
LiH,350,41,1
LiH,450,41,-1
LiH6,100,38,1
LiH3,250,38,1
LiH6,50,38,-1
Be4H9,300,38,-1
LiH6,150,38,1
LiH2,150,38,1
BeH3,250,38,1
BeH3,200,38,1
LiH3,200,38,1
Li2H5,50,38,-1
Li2H5,100,38,-1
LiH5,150,38,1
Li2H5,150,38,-1
BeH7,150,38,1
BeH5,50,38,-1
LiH5,100,38,1
LiH5,50,38,-1
BeH5,100,38,1
BeH5,150,38,1
Li2H7,150,38,-1
BeH6,150,38,1
BeH6,100,38,1
BeH6,50,38,-1
Li4H9,300,38,-1
LiH7,150,38,1
BeH2,200,38,1
Be2H5,100,38,-1
LiH2,200,38,1
Be2H7,150,38,-1
Li3H7,150,38,-1
Be2H3,250,38,-1
Be3H7,150,38,-1
Li3H10,300,38,-1
LiH2,250,38,1
Be2H5,50,38,-1
Be2H5,150,38,-1
Li3H8,300,38,-1
Be3H10,300,38,-1
BeH2,250,38,1
Be3H8,300,38,-1
Li2H3,250,38,-1
LiH9,250,36,-1
Be2H9,250,36,-1
Be2H9,300,36,-1
Be2H9,350,36,-1
Be2H9,200,36,-1
LiH9,200,36,-1
LiH9,300,36,-1
LiH8,300,36,-1
LiH8,350,36,-1
Li2H9,350,36,-1
LiH9,350,36,-1
LiH8,200,36,1
BeH9,350,36,-1
BeH9,300,36,-1
BeH9,250,36,-1
BeH9,200,36,-1
Li2H9,300,36,-1
Li2H9,250,36,-1
Li2H9,200,36,-1
LiH8,250,36,1
BeH8,350,36,-1
BeH8,300,36,-1
BeH8,250,36,1
BeH8,200,36,1
LiH9,150,34,-1
LiH10,150,34,-1
BeH10,150,34,-1
LiH8,150,34,1
Be2H9,150,34,-1
Li2H9,150,34,-1
BeH8,150,34,1
BeH9,150,34,-1
BeH4,450,31,1
BeH3,450,31,-1
BeH4,400,31,1
